run_id,experiment_id,system,variant,M,d,groups,pe_count,dsp_count,implementation_mode,target_mhz,status,validation_pass,first_output_cycles,completion_cycles,cycles_per_query_row,lut,ff,dsp,bram_18k_equiv,uram,wns_ns,tns_ns,unrouted,hls_wall_s,total_wall_s,report_paths,failure_reason
spmw_conventional_M4096_simulator,E6,SPMW conventional,conventional_2pass,4096,2,1,16,16,simulator,,ok,True,,,,,,,,,,,,,,validation/spmw_pytest/pytest_full.log,"cycles: null -- allo/backend/simulator.py is a functional dataflow simulator with no cycle model; seeds 0,1,2 validated bit-exact against numpy (test_simulator_matches, test_reference_matches, test_both_designs_agree_bit_for_bit)"
spmw_grouped_M6_simulator,E6,SPMW grouped,grouped_constseed,6,2,2,16,16,simulator,,ok,True,,,,,,,,,,,,,,validation/spmw_pytest/pytest_full.log,"cycles: null -- allo/backend/simulator.py is a functional dataflow simulator with no cycle model; seeds 0,1,2 validated bit-exact against numpy (test_simulator_matches, test_reference_matches, test_both_designs_agree_bit_for_bit)"
spmw_grouped_M64_simulator,E6,SPMW grouped,grouped_constseed,64,2,2,16,16,simulator,,ok,True,,,,,,,,,,,,,,validation/spmw_pytest/pytest_full.log,"cycles: null -- allo/backend/simulator.py is a functional dataflow simulator with no cycle model; seeds 0,1,2 validated bit-exact against numpy (test_simulator_matches, test_reference_matches, test_both_designs_agree_bit_for_bit)"
spmw_grouped_M4096_simulator,E6,SPMW grouped,grouped_constseed,4096,2,2,16,16,simulator,,ok,True,,,,,,,,,,,,,,validation/spmw_pytest/pytest_full.log,"cycles: null -- allo/backend/simulator.py is a functional dataflow simulator with no cycle model; seeds 0,1,2 validated bit-exact against numpy (test_simulator_matches, test_reference_matches, test_both_designs_agree_bit_for_bit)"
hls_conventional_M4096_cosim,E6,HLS baseline,hls_conventional,4096,2,1,16,16,cosim,300,ok,True,,37706,9.2056,,,,,,,,,33.49,116,reports/hls_conventional_M4096_cosim/result.txt;reports/hls_conventional_M4096_cosim/attention_pv_csynth.rpt;reports/hls_conventional_M4096_cosim/attention_pv_cosim.rpt;reports/hls_conventional_M4096_cosim/vitis_hls.log;reports/hls_conventional_M4096_cosim/run.tcl,
hls_conventional_M6_cosim,E6,HLS baseline,hls_conventional,6,2,1,16,16,cosim,300,ok,True,,794,132.3333,,,,,,,,,32.13,89,reports/hls_conventional_M6_cosim/result.txt;reports/hls_conventional_M6_cosim/attention_pv_csynth.rpt;reports/hls_conventional_M6_cosim/attention_pv_cosim.rpt;reports/hls_conventional_M6_cosim/vitis_hls.log;reports/hls_conventional_M6_cosim/run.tcl,
hls_conventional_M64_cosim,E6,HLS baseline,hls_conventional,64,2,1,16,16,cosim,300,ok,True,,1418,22.1562,,,,,,,,,35.35,93,reports/hls_conventional_M64_cosim/result.txt;reports/hls_conventional_M64_cosim/attention_pv_csynth.rpt;reports/hls_conventional_M64_cosim/attention_pv_cosim.rpt;reports/hls_conventional_M64_cosim/vitis_hls.log;reports/hls_conventional_M64_cosim/run.tcl,
hls_conventional_packed_M4096_cosim,E6,HLS baseline,hls_conventional_packedlanes,4096,2,1,16,16,cosim,300,ok,True,,4957,1.2102,,,,,,,,,33.74,97,reports/hls_conventional_packed_M4096_cosim/result.txt;reports/hls_conventional_packed_M4096_cosim/attention_pv_csynth.rpt;reports/hls_conventional_packed_M4096_cosim/attention_pv_cosim.rpt;reports/hls_conventional_packed_M4096_cosim/vitis_hls.log;reports/hls_conventional_packed_M4096_cosim/run.tcl,
hls_conventional_packed_M6_cosim,E6,HLS baseline,hls_conventional_packedlanes,6,2,1,16,16,cosim,300,ok,True,,349,58.1667,,,,,,,,,30.39,85,reports/hls_conventional_packed_M6_cosim/result.txt;reports/hls_conventional_packed_M6_cosim/attention_pv_csynth.rpt;reports/hls_conventional_packed_M6_cosim/attention_pv_cosim.rpt;reports/hls_conventional_packed_M6_cosim/vitis_hls.log;reports/hls_conventional_packed_M6_cosim/run.tcl,
hls_conventional_packed_M64_cosim,E6,HLS baseline,hls_conventional_packedlanes,64,2,1,16,16,cosim,300,ok,True,,421,6.5781,,,,,,,,,30.76,87,reports/hls_conventional_packed_M64_cosim/result.txt;reports/hls_conventional_packed_M64_cosim/attention_pv_csynth.rpt;reports/hls_conventional_packed_M64_cosim/attention_pv_cosim.rpt;reports/hls_conventional_packed_M64_cosim/vitis_hls.log;reports/hls_conventional_packed_M64_cosim/run.tcl,
hls_grouped_M4096_cosim,E6,HLS baseline,hls_grouped,4096,2,2,16,16,cosim,300,ok,True,,4470,1.0913,,,,,,,,,36.44,101,reports/hls_grouped_M4096_cosim/result.txt;reports/hls_grouped_M4096_cosim/attention_pv_csynth.rpt;reports/hls_grouped_M4096_cosim/attention_pv_cosim.rpt;reports/hls_grouped_M4096_cosim/vitis_hls.log;reports/hls_grouped_M4096_cosim/run.tcl,
hls_grouped_M6_cosim,E6,HLS baseline,hls_grouped,6,2,2,16,16,cosim,300,ok,True,,360,60.0,,,,,,,,,30.2,92,reports/hls_grouped_M6_cosim/result.txt;reports/hls_grouped_M6_cosim/attention_pv_csynth.rpt;reports/hls_grouped_M6_cosim/attention_pv_cosim.rpt;reports/hls_grouped_M6_cosim/vitis_hls.log;reports/hls_grouped_M6_cosim/run.tcl,
